tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-mass,animal-sex,attachment-type,deploy-off-person,deploy-on-person,deployment-end-type,deployment-id,manipulation-type,tag-beacon-frequency,tag-comments,tag-failure-comments,tag-manufacturer-name,tag-mass,tag-model,tag-production-date,tag-serial-no
151-2378,Ada,Vulpes vulpes,2016-07-31 14:00:37.000,2016-11-14 02:12:46.000,3600.0,f,collar,Andrew Carter,Andrew Carter,dead,Ada_151-2378,none,151.24,2015 = Liz; 2016 = Ada; 2017 = Ros,,Telemetry Solutions,176.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613515
150-3603,Zoe,Vulpes vulpes,2016-07-31 14:00:37.000,2016-08-22 11:00:36.000,3650.0,f,collar,Andrew Carter,Andrew Carter,dead,Zoe_150-3603,none,150.36,2015 = Jim; 2016 = Zoe; 2017 = Don,,Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613115
151-1784,Oli,Vulpes vulpes,2016-07-31 14:00:37.000,2016-11-24 13:00:38.000,4400.0,m,collar,Andrew Carter,Andrew Carter,fall-off,Oli_151-1784,none,151.18,2016 = Oli; 2017 = Ern,,Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37519816
151-3384,Bea,Vulpes vulpes,2016-07-31 14:00:39.000,2016-11-24 13:00:38.000,3600.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Bea_151-3384,none,151.34,2015 = Ann; 2016 = Bea; 2017 = Flo,"in 2017, collar only collected fixes for ~17 days. Manufacturer suggested flat GPS battery likely cause.",Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17614015
151-2779,Cat,Vulpes vulpes,2016-07-31 14:01:03.000,2016-08-21 18:20:38.000,4650.0,f,collar,Andrew Carter,Andrew Carter,dead,Cat_151-2779,none,151.28,2015 = Zoe; 2016 = Cat; 2017 = Joy,,Telemetry Solutions,178.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613715
151-3197,Val,Vulpes vulpes,2016-08-31 14:00:37.000,2016-12-23 21:40:37.000,3600.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Val_151-3197,none,151.32,2016 = Val; 2017 = Lou,,Telemetry Solutions,174.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613915
150-3803,Joy,Vulpes vulpes,2016-08-31 14:00:38.000,2016-12-22 13:20:38.000,3800.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Joy_150-3803,none,150.38,2016 = Joy; 2017 = Abe,Faulty VHF signal in 2017. Tag gave mortality signal when the fox was still alive (as confirmed visually by AC),Telemetry Solutions,178.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613215
151-3384,Flo,Vulpes vulpes,2017-07-31 14:00:36.000,2017-08-15 07:00:44.000,4400.0,f,collar,Andrew Carter,Andrew Carter,dead,Flo_151-3384,none,151.34,2015 = Ann; 2016 = Bea; 2017 = Flo,"in 2017, collar only collected fixes for ~17 days. Manufacturer suggested flat GPS battery likely cause.",Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17614015
150-3603,Don,Vulpes vulpes,2017-07-31 14:00:38.000,2017-11-21 10:40:36.000,5400.0,m,collar,Andrew Carter,Andrew Carter,fall-off,Don_150-3603,none,150.36,2015 = Jim; 2016 = Zoe; 2017 = Don,,Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613115
151-1784,Ern,Vulpes vulpes,2017-07-31 14:00:39.000,2017-10-26 17:40:38.000,4600.0,m,collar,Andrew Carter,Andrew Carter,dead,Ern_151-1784,none,151.18,2016 = Oli; 2017 = Ern,,Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37519816
151-2779,Joy,Vulpes vulpes,2017-07-31 14:00:39.000,2017-10-26 18:20:37.000,3600.0,f,collar,Andrew Carter,Andrew Carter,dead,Joy_151-2779,none,151.28,2015 = Zoe; 2016 = Cat; 2017 = Joy,,Telemetry Solutions,178.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613715
151-3586,Kev,Vulpes vulpes,2017-07-31 14:00:39.000,2017-11-20 13:00:38.000,4300.0,m,collar,Andrew Carter,Andrew Carter,fall-off,Kev_151-3586,none,151.36,2017 = Kev,,Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37514416
151-2378,Ros,Vulpes vulpes,2017-07-31 14:00:43.000,2017-10-26 16:00:37.000,4000.0,f,collar,Andrew Carter,Andrew Carter,dead,Ros_151-2378,none,151.24,2015 = Liz; 2016 = Ada; 2017 = Ros,,Telemetry Solutions,176.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613515
151-2216,Jen,Vulpes vulpes,2017-07-31 14:00:44.000,2017-10-31 12:40:39.000,4100.0,f,collar,Andrew Carter,Andrew Carter,dead,Jen_151-2216,none,151.22,2017 = Jen,,Telemetry Solutions,177.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613415
150-5573,Oli,Vulpes vulpes,2017-07-31 14:00:44.000,2017-10-31 13:20:38.000,4900.0,m,collar,Andrew Carter,Andrew Carter,dead,Oli_150-5573,none,150.56,2016 = Flo; 2017 = Oli,,Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37519716
151-3197,Lou,Vulpes vulpes,2017-07-31 14:01:05.000,2017-11-20 13:00:37.000,3200.0,m,collar,Andrew Carter,Andrew Carter,fall-off,Lou_151-3197,none,151.32,2016 = Val; 2017 = Lou,,Telemetry Solutions,174.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613915
